"Protein","Missing_Percent"
"C12orf43",28.8590604026846
"C12orf45",4.02684563758389
"C12orf49",95.3020134228188
"C12orf57",0
"C12orf65",84.5637583892617
"C12orf66",48.3221476510067
"C12orf73",63.0872483221477
"C12orf75",28.1879194630872
"C14orf119",18.1208053691275
"C14orf93",85.9060402684564
"C15orf39",50.3355704697987
"C15orf40",8.05369127516778
"C15orf41",90.6040268456376
"C15orf48",0
"C16orf58",0
"C16orf70",0
"C16orf72",81.2080536912752
"C16orf74",97.9865771812081
"C16orf86",68.4563758389262
"C16orf89",97.9865771812081
"C17orf100",73.8255033557047
"C17orf49",61.744966442953
